wbName,wbCountryOriginID
Chateau Margaux,1001
Chateau Latour,1001
Chateau Lafite Rothschild,1001
Chateau Mouton Rothschild,1001
Domaine de la Romanee-Conti,1001
Chateau Haut-Brion,1001
Chateau Cheval Blanc,1001
Chateau Palmer,1001
Chateau d'Yquem,1001
Domaine Leroy,1001
Domaine Leflaive,1001
Chateau Smith Haut Lafitte,1001
Chateau Pichon-Longueville,1001
Chateau Lynch-Bages,1001
Chateau Gruaud-Larose,1001
Chateau Cos d'Estournel,1001
Chateau Leoville-Las Cases,1001
Chateau Leoville-Poyferre,1001
Chateau Ducru-Beaucaillou,1001
Chateau Beychevelle,1001
Cloudy Bay Vineyards,1000
Felton Road Wines,1000
Villa Maria Estate,1000x
Craggy Range Winery,1000
Ata Rangi Vineyard,1000
Pegasus Bay Winery,1000
Kumeu River Wines,1000
Gibbston Valley Wines,1000
Escarpment Vineyard,1000
Rippon Vineyard,1000
Dog Point Vineyard,1000
Martinborough Vineyard,1000
Amisfield Winery,1000
Elephant Hill Estate and Winery,1000
Neudorf Vineyards,1000
Framingham Wines,1000
Mudbrick Vineyard and Restaurant,1000
Te Mata Estate Winery,1000
Palliser Estate Wines,1000
The Crater Rim Winery,1000
Bodegas Vega Sicilia,1002
Bodegas Torres,1002
Bodegas Emilio Moro,1002
Bodegas Muga,1002
Bodegas Artadi,1002
Bodegas Marques de Riscal,1002
Bodegas Ramon Bilbao,1002
Bodegas Faustino,1002
Bodegas Protos,1002
Bodegas Abadal,1002
Bodegas LAN,1002
Bodegas Valdemar,1002
Bodegas Martin Codax,1002
Bodegas Montecillo,1002
Robert Mondavi Winery,1004
Chateau Montelena Winery,1004
Opus One Winery,1004
Stag's Leap Wine Cellars,1004
Silver Oak Cellars,1004
Harlan Estate Winery,1004
Screaming Eagle Winery and Vineyards,1004
Duckhorn Vineyards,1004
Ridge Vineyards,1004
Caymus Vineyards,1004
Beaulieu Vineyard,1004
Chateau Ste. Michelle,1004
Quinta do Crasto,1006
Taylor's Port,1006
Casa Ferreirinha,1006
Quinta do Noval,1006
Symington Family Estates,1006
Herdade do Esporao,1006
Quinta de Vale Meao,1006
Penfolds,1005
Henschke,1005
d'Arenberg,1005
Torbreck Vintners,1005
Tyrrell's Wines,1005
Yalumba,1005
Leeuwin Estate,1005
Vasse Felix,1005
Jacobs Creek,1005
Wolf Blass,1005
Bodega Catena Zapata,1003
Bodegas Salentein,1003
Trapiche,1003
Bodega Norton,1003
Achaval-Ferrer Winery,1003
Bodega Colome,1003
Luigi Bosca Winery,1003
Bodega Chacra,1003
Alta Vista Wines,1003
Weingut Dr. Loosen,1007
Weingut Egon Muller-Scharzhof,1007
Schloss Johannisberg,1007
Weingut Fritz Haag,1007
Weingut Keller,1007
Weingut Donnhoff,1007
Weingut JJ Prum,1007
Weingut Robert Weil,1007